OPCS_CODE,TREATMENT_TYPE
F052,Surgery
F202,Surgery
F221,Surgery
F222,Surgery
F231,Surgery
F281,Surgery
F301,Surgery
F303,Surgery
F304,Surgery
F305,Surgery
F324,Surgery
F328,Surgery
F341,Surgery
F349,Surgery
F381,Surgery
F382,Surgery
F391,Surgery
F392,Surgery
F402,Surgery
F44X,Surgery
F441,Surgery
F442,Surgery
F443,Surgery
F444,Surgery
F445,Surgery
F448,Surgery
F449,Surgery
F451,Surgery
F452,Surgery
G01X,Surgery
G011,Surgery
G012,Surgery
G013,Surgery
G018,Surgery
G019,Surgery
G02X,Surgery
G021,Surgery
G022,Surgery
G023,Surgery
G024,Surgery
G025,Surgery
G028,Surgery
G029,Surgery
G03X,Surgery
G031,Surgery
G032,Surgery
G033,Surgery
G034,Surgery
G035,Surgery
G036,Surgery
G038,Surgery
G039,Surgery
G27X,Surgery
G271,Surgery
G272,Surgery
G273,Surgery
G274,Surgery
G275,Surgery
G278,Surgery
G279,Surgery
G281,Surgery
G282,Surgery
G283,Surgery
G288,Surgery
G289,Surgery
H04X,Surgery
H041,Surgery
H042,Surgery
H043,Surgery
H048,Surgery
H049,Surgery
H05X,Surgery
H051,Surgery
H052,Surgery
H053,Surgery
H058,Surgery
H059,Surgery
H06X,Surgery
H061,Surgery
H062,Surgery
H063,Surgery
H064,Surgery
H065,Surgery
H068,Surgery
H069,Surgery
H07X,Surgery
H071,Surgery
H072,Surgery
H073,Surgery
H074,Surgery
H075,Surgery
H078,Surgery
H079,Surgery
H081,Surgery
H082,Surgery
H083,Surgery
H084,Surgery
H085,Surgery
H088,Surgery
H089,Surgery
H091,Surgery
H092,Surgery
H093,Surgery
H094,Surgery
H095,Surgery
H098,Surgery
H099,Surgery
H10X,Surgery
H101,Surgery
H102,Surgery
H103,Surgery
H104,Surgery
H105,Surgery
H106,Surgery
H108,Surgery
H109,Surgery
H111,Surgery
H112,Surgery
H113,Surgery
H114,Surgery
H115,Surgery
H118,Surgery
H119,Surgery
H291,Surgery
H292,Surgery
H293,Surgery
H294,Surgery
H298,Surgery
H299,Surgery
H33X,Surgery
H331,Surgery
H332,Surgery
H333,Surgery
H334,Surgery
H335,Surgery
H336,Surgery
H337,Surgery
H338,Surgery
H339,Surgery
H402,Surgery
H404,Surgery
H408,Surgery
H409,Surgery
H412,Surgery
H47X,Surgery
H471,Surgery
H478,Surgery
H479,Surgery
H48X,Surgery
H481,Surgery
H482,Surgery
H483,Surgery
H488,Surgery
H489,Surgery
H511,Surgery
H564,Surgery
J011,Surgery
J015,Surgery
J019,Surgery
J021,Surgery
J022,Surgery
J023,Surgery
J024,Surgery
J026,Surgery
J027,Surgery
J028,Surgery
J029,Surgery
J031,Surgery
J032,Surgery
J033,Surgery
J034,Surgery
J035,Surgery
J038,Surgery
J053,Surgery
J083,Surgery
J101,Surgery
J181,Surgery
J182,Surgery
J183,Surgery
J184,Surgery
J185,Surgery
J188,Surgery
J231,Surgery
J271,Surgery
J273,Surgery
J274,Surgery
J275,Surgery
J278,Surgery
J279,Surgery
J281,Surgery
J282,Surgery
J288,Surgery
J361,Surgery
J551,Surgery
J552,Surgery
J558,Surgery
J559,Surgery
J561,Surgery
J562,Surgery
J563,Surgery
J568,Surgery
J569,Surgery
J571,Surgery
J573,Surgery
J574,Surgery
J575,Surgery
J578,Surgery
J579,Surgery
J582,Surgery
M021,Surgery
M022,Surgery
M023,Surgery
M024,Surgery
M025,Surgery
M028,Surgery
M029,Surgery
M038,Surgery
M039,Surgery
M042,Surgery
M043,Surgery
